model,model_display,total_params_B,active_params_B,architecture,group,domain,trial,drci_cold,drci_scrambled,drci_mean,mean_true,mean_cold,mean_scrambled
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,14,0.2735355486472447,0.15867323478062945,0.21610439171393708,1.0,0.7264644513527553,0.8413267652193706
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,15,0.27036396265029905,0.17538979450861614,0.2228768785794576,1.0,0.729636037349701,0.8246102054913839
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,16,0.25876703262329104,0.15507644216219585,0.20692173739274344,1.0,0.741232967376709,0.8449235578378042
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,17,0.2508911569913228,0.16359598437945044,0.20724357068538662,1.0,0.7491088430086772,0.8364040156205496
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,18,0.30408918758233383,0.1837728708982468,0.2439310292402903,1.0,0.6959108124176662,0.8162271291017532
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,19,0.28762763788302737,0.15845903952916462,0.223043338706096,1.0,0.7123723621169726,0.8415409604708354
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,20,0.2856900170445442,0.1497488856315613,0.21771945133805276,1.0,0.7143099829554558,0.8502511143684387
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,21,0.2726372371117274,0.14335139393806462,0.207994315524896,1.0,0.7273627628882726,0.8566486060619354
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,22,0.2618325352668762,0.14431360165278118,0.2030730684598287,1.0,0.7381674647331238,0.8556863983472188
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,23,0.24955615401268005,0.20305405855178837,0.22630510628223421,1.0,0.75044384598732,0.7969459414482116
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,24,0.2687435934940974,0.16981858015060425,0.2192810868223508,1.0,0.7312564065059026,0.8301814198493958
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,25,0.2622078319390615,0.16264156301816302,0.21242469747861226,1.0,0.7377921680609385,0.837358436981837
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,26,0.27791112760702774,0.15418243408203125,0.2160467808445295,1.0,0.7220888723929723,0.8458175659179688
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,27,0.25238137344519296,0.19963097174962363,0.2260061725974083,1.0,0.747618626554807,0.8003690282503764
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,28,0.2739532679319382,0.17605681618054703,0.2250050420562426,1.0,0.7260467320680618,0.823943183819453
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,29,0.24618477423985796,0.15888234178225202,0.202533558011055,1.0,0.753815225760142,0.841117658217748
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,30,0.26508891582489014,0.19901282191276548,0.2320508688688278,1.0,0.7349110841751099,0.8009871780872345
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,31,0.262914298971494,0.1530052264531453,0.20795976271231964,1.0,0.737085701028506,0.8469947735468547
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,32,0.26412151952584584,0.171029406785965,0.21757546315590542,1.0,0.7358784804741542,0.828970593214035
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,33,0.25801475942134855,0.19212267994880672,0.22506871968507763,1.0,0.7419852405786515,0.8078773200511933
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,34,0.2681361307700475,0.17017384370168054,0.21915498723586402,1.0,0.7318638692299525,0.8298261562983195
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,35,0.2766496509313583,0.17582234938939412,0.2262360001603762,1.0,0.7233503490686417,0.8241776506106059
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,36,0.25195974210898087,0.15509144663810726,0.20352559437354406,1.0,0.7480402578910191,0.8449085533618927
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,37,0.28586856524149573,0.18090495069821677,0.23338675796985625,1.0,0.7141314347585043,0.8190950493017832
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,38,0.2979487001895904,0.1534032762050629,0.22567598819732665,1.0,0.7020512998104096,0.8465967237949371
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,39,0.2805125256379445,0.1498885293801625,0.2152005275090535,1.0,0.7194874743620555,0.8501114706198375
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,40,0.2588026662667592,0.15743784705797836,0.20812025666236877,1.0,0.7411973337332408,0.8425621529420216
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,41,0.2676665743192037,0.1579913397630056,0.21282895704110466,1.0,0.7323334256807963,0.8420086602369944
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,42,0.2854857544104258,0.16952803134918215,0.22750689287980397,1.0,0.7145142455895742,0.8304719686508178
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,43,0.2645966231822967,0.17803981502850852,0.2213182191054026,1.0,0.7354033768177033,0.8219601849714915
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,44,0.27785165309906,0.18748270869255068,0.23266718089580535,1.0,0.72214834690094,0.8125172913074493
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,45,0.2638592620690664,0.17500252723693843,0.21943089465300242,1.0,0.7361407379309336,0.8249974727630616
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,46,0.26857480903466546,0.2041855891545613,0.23638019909461339,1.0,0.7314251909653345,0.7958144108454387
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,47,0.2655546754598618,0.1740504225095113,0.21980254898468654,1.0,0.7344453245401382,0.8259495774904887
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,48,0.26147163013617203,0.16377475659052532,0.21262319336334867,1.0,0.738528369863828,0.8362252434094747
