model,domain,task_type,trial_number,delta_rci,source_folder
claude_haiku,medical,Type2_Closed,12,0.3465598250428834,medical_results
claude_haiku,medical,Type2_Closed,13,0.3554827916125456,medical_results
claude_haiku,medical,Type2_Closed,14,0.3516214440266292,medical_results
claude_haiku,medical,Type2_Closed,15,0.3228990191593767,medical_results
claude_haiku,medical,Type2_Closed,16,0.32790040026108436,medical_results
claude_haiku,medical,Type2_Closed,17,0.34233826870719597,medical_results
claude_haiku,medical,Type2_Closed,18,0.35938390145699184,medical_results
claude_haiku,medical,Type2_Closed,19,0.3332698223491509,medical_results
claude_haiku,medical,Type2_Closed,20,0.3506855035821598,medical_results
claude_haiku,medical,Type2_Closed,21,0.33612746124466253,medical_results
claude_haiku,medical,Type2_Closed,22,0.3423960266013941,medical_results
claude_haiku,medical,Type2_Closed,23,0.33560673967003807,medical_results
claude_haiku,medical,Type2_Closed,24,0.3554382118086019,medical_results
claude_haiku,medical,Type2_Closed,25,0.34154085765282327,medical_results
claude_haiku,medical,Type2_Closed,26,0.3381081129113832,medical_results
claude_haiku,medical,Type2_Closed,27,0.33115137591958055,medical_results
claude_haiku,medical,Type2_Closed,28,0.33559114535649626,medical_results
claude_haiku,medical,Type2_Closed,29,0.34299295147260034,medical_results
claude_haiku,medical,Type2_Closed,30,0.33435923953851077,medical_results
claude_haiku,medical,Type2_Closed,31,0.3556686192750932,medical_results
claude_haiku,medical,Type2_Closed,32,0.33480146800478294,medical_results
claude_haiku,medical,Type2_Closed,33,0.33952670767903337,medical_results
claude_haiku,medical,Type2_Closed,34,0.34109908590714144,medical_results
claude_haiku,medical,Type2_Closed,35,0.3247855956355731,medical_results
claude_haiku,medical,Type2_Closed,36,0.35418486235042423,medical_results
claude_haiku,medical,Type2_Closed,37,0.33931968038280813,medical_results
claude_haiku,medical,Type2_Closed,38,0.3290014932552975,medical_results
claude_haiku,medical,Type2_Closed,39,0.333580979704857,medical_results
claude_haiku,medical,Type2_Closed,40,0.34507437547047937,medical_results
claude_haiku,medical,Type2_Closed,41,0.34658724715312317,medical_results
claude_haiku,medical,Type2_Closed,42,0.333933812379837,medical_results
claude_haiku,medical,Type2_Closed,43,0.3272012675801913,medical_results
claude_haiku,medical,Type2_Closed,44,0.3229716521998246,medical_results
claude_haiku,medical,Type2_Closed,45,0.3481563532724976,medical_results
claude_haiku,medical,Type2_Closed,46,0.3398344760139783,medical_results
claude_haiku,medical,Type2_Closed,47,0.34018863538901023,medical_results
claude_haiku,medical,Type2_Closed,48,0.32642811040083564,medical_results
claude_haiku,medical,Type2_Closed,49,0.34015172521273307,medical_results
claude_haiku,medical,Type2_Closed,50,0.3324883292118709,medical_results
claude_opus,medical,Type2_Closed,1,0.3561,medical_results
